0.06.729.824 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.06.829.489 I srv          init: The UI is disabled
0.06.829.491 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.06.829.575 W srv  llama_server: -----------------
0.06.829.576 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.06.829.576 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.06.829.576 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.06.829.576 W srv  llama_server: -----------------
27.40.813.193 I srv    load_model: loading model 'unsloth/gemma-4-26B-A4B-it-GGUF:Q8_0'
27.42.278.000 W load: control-looking token:    212 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
27.42.278.634 W load: control-looking token:     50 '<|tool_response>' was not control-type; this is probably a bug in the model. its type will be overridden
27.42.286.983 W load: control-looking token:      1 '<eos>' was not control-type; this is probably a bug in the model. its type will be overridden
27.42.317.162 W load: special_eog_ids contains '<|tool_response>', removing '</s>' token from EOG list
27.42.335.595 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
28.15.510.543 I srv    load_model: loaded multimodal model, '/opt/hf/hub/models--unsloth--gemma-4-26B-A4B-it-GGUF/snapshots/c099eb48e663fd284577b04978a94ffccb261841/mmproj-BF16.gguf'
28.15.628.443 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
28.15.635.088 I srv  llama_server: model loaded
28.15.635.093 I srv  llama_server: listening on http://127.0.0.1:8080
28.19.492.449 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
28.19.492.543 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
28.22.634.460 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    276, progress = 0.99, t =   3.14 s / 87.85 tokens per second
28.25.701.744 I slot print_timing: id  3 | task 0 | prompt eval time =    3390.59 ms /   280 tokens (   12.11 ms per token,    82.58 tokens per second)
28.25.701.749 I slot print_timing: id  3 | task 0 |        eval time =    2818.55 ms /    26 tokens (  108.41 ms per token,     9.22 tokens per second)
28.25.701.749 I slot print_timing: id  3 | task 0 |       total time =    6209.14 ms /   306 tokens
28.25.701.752 I slot print_timing: id  3 | task 0 |    graphs reused =         25
28.25.701.803 I slot      release: id  3 | task 0 | stop processing: n_tokens = 305, truncated = 0
28.25.706.113 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.929 (> 0.100 thold), f_keep = 0.852
28.25.706.170 I slot launch_slot_: id  3 | task 29 | processing task, is_child = 0
28.29.851.052 I slot print_timing: id  3 | task 29 | prompt eval time =    1325.75 ms /    29 tokens (   45.72 ms per token,    21.87 tokens per second)
28.29.851.062 I slot print_timing: id  3 | task 29 |        eval time =    2819.07 ms /    25 tokens (  112.76 ms per token,     8.87 tokens per second)
28.29.851.063 I slot print_timing: id  3 | task 29 |       total time =    4144.82 ms /    54 tokens
28.29.851.064 I slot print_timing: id  3 | task 29 |    graphs reused =         48
28.29.851.174 I slot      release: id  3 | task 29 | stop processing: n_tokens = 304, truncated = 0
28.29.856.388 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.929 (> 0.100 thold), f_keep = 0.855
28.29.856.433 I slot launch_slot_: id  3 | task 57 | processing task, is_child = 0
28.36.154.352 I slot print_timing: id  3 | task 57 | prompt eval time =    1078.43 ms /    29 tokens (   37.19 ms per token,    26.89 tokens per second)
28.36.154.356 I slot print_timing: id  3 | task 57 |        eval time =    5219.44 ms /    48 tokens (  108.74 ms per token,     9.20 tokens per second)
28.36.154.356 I slot print_timing: id  3 | task 57 |       total time =    6297.87 ms /    77 tokens
28.36.154.358 I slot print_timing: id  3 | task 57 |    graphs reused =         94
28.36.154.411 I slot      release: id  3 | task 57 | stop processing: n_tokens = 327, truncated = 0
28.36.158.622 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.945 (> 0.100 thold), f_keep = 0.795
28.36.158.668 I slot launch_slot_: id  3 | task 108 | processing task, is_child = 0
28.40.049.137 I slot print_timing: id  3 | task 108 | prompt eval time =     978.99 ms /    24 tokens (   40.79 ms per token,    24.52 tokens per second)
28.40.049.144 I slot print_timing: id  3 | task 108 |        eval time =    2911.43 ms /    25 tokens (  116.46 ms per token,     8.59 tokens per second)
28.40.049.145 I slot print_timing: id  3 | task 108 |       total time =    3890.42 ms /    49 tokens
28.40.049.147 I slot print_timing: id  3 | task 108 |    graphs reused =        117
28.40.049.252 I slot      release: id  3 | task 108 | stop processing: n_tokens = 299, truncated = 0
28.40.053.077 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.942 (> 0.100 thold), f_keep = 0.870
28.40.053.189 I slot launch_slot_: id  3 | task 136 | processing task, is_child = 0
28.43.626.889 I slot print_timing: id  3 | task 136 | prompt eval time =     974.07 ms /    25 tokens (   38.96 ms per token,    25.67 tokens per second)
28.43.626.896 I slot print_timing: id  3 | task 136 |        eval time =    2599.54 ms /    23 tokens (  113.02 ms per token,     8.85 tokens per second)
28.43.626.896 I slot print_timing: id  3 | task 136 |       total time =    3573.61 ms /    48 tokens
28.43.626.898 I slot print_timing: id  3 | task 136 |    graphs reused =        138
28.43.626.987 I slot      release: id  3 | task 136 | stop processing: n_tokens = 298, truncated = 0
28.43.630.568 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.945 (> 0.100 thold), f_keep = 0.869
28.43.630.621 I slot launch_slot_: id  3 | task 162 | processing task, is_child = 0
28.47.198.220 I slot print_timing: id  3 | task 162 | prompt eval time =     949.77 ms /    23 tokens (   41.29 ms per token,    24.22 tokens per second)
28.47.198.226 I slot print_timing: id  3 | task 162 |        eval time =    2617.73 ms /    22 tokens (  118.99 ms per token,     8.40 tokens per second)
28.47.198.227 I slot print_timing: id  3 | task 162 |       total time =    3567.50 ms /    45 tokens
28.47.198.229 I slot print_timing: id  3 | task 162 |    graphs reused =        158
28.47.198.341 I slot      release: id  3 | task 162 | stop processing: n_tokens = 295, truncated = 0
28.47.202.625 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.928 (> 0.100 thold), f_keep = 0.878
28.47.202.666 I slot launch_slot_: id  3 | task 187 | processing task, is_child = 0
28.51.532.875 I slot print_timing: id  3 | task 187 | prompt eval time =    1107.86 ms /    28 tokens (   39.57 ms per token,    25.27 tokens per second)
28.51.532.883 I slot print_timing: id  3 | task 187 |        eval time =    3222.30 ms /    28 tokens (  115.08 ms per token,     8.69 tokens per second)
28.51.532.884 I slot print_timing: id  3 | task 187 |       total time =    4330.15 ms /    56 tokens
28.51.532.886 I slot print_timing: id  3 | task 187 |    graphs reused =        184
28.51.532.963 I slot      release: id  3 | task 187 | stop processing: n_tokens = 306, truncated = 0
28.51.536.792 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.918 (> 0.100 thold), f_keep = 0.846
28.51.536.842 I slot launch_slot_: id  3 | task 218 | processing task, is_child = 0
28.55.859.010 I slot print_timing: id  3 | task 218 | prompt eval time =    1132.02 ms /    31 tokens (   36.52 ms per token,    27.38 tokens per second)
28.55.859.016 I slot print_timing: id  3 | task 218 |        eval time =    3190.11 ms /    28 tokens (  113.93 ms per token,     8.78 tokens per second)
28.55.859.017 I slot print_timing: id  3 | task 218 |       total time =    4322.13 ms /    59 tokens
28.55.859.018 I slot print_timing: id  3 | task 218 |    graphs reused =        210
28.55.859.077 I slot      release: id  3 | task 218 | stop processing: n_tokens = 309, truncated = 0
28.55.862.785 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.932 (> 0.100 thold), f_keep = 0.838
28.55.862.890 I slot launch_slot_: id  3 | task 249 | processing task, is_child = 0
29.00.135.296 I slot print_timing: id  3 | task 249 | prompt eval time =    1048.84 ms /    27 tokens (   38.85 ms per token,    25.74 tokens per second)
29.00.135.301 I slot print_timing: id  3 | task 249 |        eval time =    3223.48 ms /    28 tokens (  115.12 ms per token,     8.69 tokens per second)
29.00.135.301 I slot print_timing: id  3 | task 249 |       total time =    4272.32 ms /    55 tokens
29.00.135.302 I slot print_timing: id  3 | task 249 |    graphs reused =        236
29.00.135.344 I slot      release: id  3 | task 249 | stop processing: n_tokens = 305, truncated = 0
29.00.139.559 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.942 (> 0.100 thold), f_keep = 0.849
29.00.139.609 I slot launch_slot_: id  3 | task 280 | processing task, is_child = 0
29.04.102.985 I slot print_timing: id  3 | task 280 | prompt eval time =    1010.52 ms /    24 tokens (   42.10 ms per token,    23.75 tokens per second)
29.04.102.993 I slot print_timing: id  3 | task 280 |        eval time =    2952.79 ms /    26 tokens (  113.57 ms per token,     8.81 tokens per second)
29.04.102.994 I slot print_timing: id  3 | task 280 |       total time =    3963.31 ms /    50 tokens
29.04.102.997 I slot print_timing: id  3 | task 280 |    graphs reused =        260
29.04.103.098 I slot      release: id  3 | task 280 | stop processing: n_tokens = 300, truncated = 0
29.04.108.102 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.915 (> 0.100 thold), f_keep = 0.863
29.04.108.165 I slot launch_slot_: id  3 | task 309 | processing task, is_child = 0
29.11.434.661 I slot print_timing: id  3 | task 309 | prompt eval time =    1235.85 ms /    32 tokens (   38.62 ms per token,    25.89 tokens per second)
29.11.434.668 I slot print_timing: id  3 | task 309 |        eval time =    6090.60 ms /    54 tokens (  112.79 ms per token,     8.87 tokens per second)
29.11.434.669 I slot print_timing: id  3 | task 309 |       total time =    7326.45 ms /    86 tokens
29.11.434.670 I slot print_timing: id  3 | task 309 |    graphs reused =        312
29.11.434.717 I slot      release: id  3 | task 309 | stop processing: n_tokens = 336, truncated = 0
29.11.438.292 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.935 (> 0.100 thold), f_keep = 0.771
29.11.438.353 I slot launch_slot_: id  3 | task 366 | processing task, is_child = 0
29.15.368.236 I slot print_timing: id  3 | task 366 | prompt eval time =    1007.79 ms /    26 tokens (   38.76 ms per token,    25.80 tokens per second)
29.15.368.245 I slot print_timing: id  3 | task 366 |        eval time =    2922.01 ms /    27 tokens (  108.22 ms per token,     9.24 tokens per second)
29.15.368.245 I slot print_timing: id  3 | task 366 |       total time =    3929.80 ms /    53 tokens
29.15.368.247 I slot print_timing: id  3 | task 366 |    graphs reused =        337
29.15.368.315 I slot      release: id  3 | task 366 | stop processing: n_tokens = 303, truncated = 0
29.15.371.277 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.935 (> 0.100 thold), f_keep = 0.855
29.15.371.347 I slot launch_slot_: id  3 | task 396 | processing task, is_child = 0
29.19.326.393 I slot print_timing: id  3 | task 396 | prompt eval time =     989.40 ms /    26 tokens (   38.05 ms per token,    26.28 tokens per second)
29.19.326.397 I slot print_timing: id  3 | task 396 |        eval time =    2965.60 ms /    26 tokens (  114.06 ms per token,     8.77 tokens per second)
29.19.326.398 I slot print_timing: id  3 | task 396 |       total time =    3955.00 ms /    52 tokens
29.19.326.399 I slot print_timing: id  3 | task 396 |    graphs reused =        361
29.19.326.449 I slot      release: id  3 | task 396 | stop processing: n_tokens = 302, truncated = 0
29.19.330.002 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.935 (> 0.100 thold), f_keep = 0.858
29.19.330.090 I slot launch_slot_: id  3 | task 425 | processing task, is_child = 0
29.23.165.588 I slot print_timing: id  3 | task 425 | prompt eval time =    1043.22 ms /    26 tokens (   40.12 ms per token,    24.92 tokens per second)
29.23.165.595 I slot print_timing: id  3 | task 425 |        eval time =    2792.20 ms /    26 tokens (  107.39 ms per token,     9.31 tokens per second)
29.23.165.596 I slot print_timing: id  3 | task 425 |       total time =    3835.42 ms /    52 tokens
29.23.165.597 I slot print_timing: id  3 | task 425 |    graphs reused =        385
29.23.165.684 I slot      release: id  3 | task 425 | stop processing: n_tokens = 302, truncated = 0
29.23.169.089 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.935 (> 0.100 thold), f_keep = 0.858
29.23.169.137 I slot launch_slot_: id  3 | task 454 | processing task, is_child = 0
29.26.503.614 I slot print_timing: id  3 | task 454 | prompt eval time =    1006.89 ms /    26 tokens (   38.73 ms per token,    25.82 tokens per second)
29.26.503.618 I slot print_timing: id  3 | task 454 |        eval time =    2327.55 ms /    23 tokens (  101.20 ms per token,     9.88 tokens per second)
29.26.503.618 I slot print_timing: id  3 | task 454 |       total time =    3334.44 ms /    49 tokens
29.26.503.619 I slot print_timing: id  3 | task 454 |    graphs reused =        406
