
=== 2026-08-14T14:06:13Z qwen36_27b_q4_mtp ===
{"command": ["/mnt/media/tierbench/bin/llama-b10356/llama-server", "-hf", "ggml-org/Qwen3.6-27B-GGUF:Q4_K_M", "--host", "127.0.0.1", "--port", "8920", "--jinja", "-c", "8192", "-np", "1", "-b", "2048", "-ub", "2048", "--cache-ram", "1024", "--device", "Vulkan1", "--no-webui", "--no-mmproj", "-ngl", "99", "-fa", "on", "-hfd", "ggml-org/Qwen3.6-27B-GGUF"], "load_profile": {"context_tokens": 8192, "device": "Vulkan1", "flash_attention": true, "gpu_layers": 99, "logical_batch_tokens": 2048, "output_constraint": "response_format strict json_schema", "parallel_slots": 1, "physical_batch_tokens": 2048, "prompt_cache_mib": 1024, "workers": 1}}
0.01.276.203 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.276.639 I srv          init: The UI is disabled
0.01.276.640 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.01.276.733 W srv  llama_server: -----------------
0.01.276.734 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.276.734 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.276.735 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.276.735 W srv  llama_server: -----------------
0.01.278.257 I srv    load_model: loading model 'ggml-org/Qwen3.6-27B-GGUF:Q4_K_M'
2.47.394.940 I common_speculative_init_result: loading draft model '/mnt/media/storage/models/hf/hub/models--ggml-org--Qwen3.6-27B-GGUF/snapshots/8a7ee08e8b9bfb857107ecc25a5599d2f38b76f8/mtp-Qwen3.6-27B-Q4_0.gguf'
2.55.622.049 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
2.55.654.074 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
2.55.654.137 I srv  llama_server: model loaded
2.55.654.141 I srv  llama_server: listening on http://127.0.0.1:8920
2.57.281.718 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.57.282.069 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
3.00.834.336 I slot print_timing: id  0 | task 1 | prompt eval time =    1791.88 ms /   238 tokens (    7.53 ms per token,   132.82 tokens per second)
3.00.834.340 I slot print_timing: id  0 | task 1 |        eval time =    1760.35 ms /   128 tokens (   13.75 ms per token,    72.71 tokens per second)
3.00.834.341 I slot print_timing: id  0 | task 1 |       total time =    3552.22 ms /   366 tokens
3.00.834.345 I slot print_timing: id  0 | task 1 |    graphs reused =         37
3.00.834.348 I slot print_timing: id  0 | task 1 | draft acceptance = 0.78947 (   90 accepted /   114 generated), mean len =  3.37
3.00.835.467 I slot      release: id  0 | task 1 | stop processing: n_tokens = 366, truncated = 0
3.00.843.363 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.585 (> 0.100 thold), f_keep = 0.273
3.00.963.408 I slot launch_slot_: id  0 | task 42 | processing task, is_child = 0
3.02.519.257 I slot print_timing: id  0 | task 42 | prompt eval time =     562.79 ms /   171 tokens (    3.29 ms per token,   303.84 tokens per second)
3.02.519.262 I slot print_timing: id  0 | task 42 |        eval time =     993.01 ms /    67 tokens (   14.82 ms per token,    67.47 tokens per second)
3.02.519.262 I slot print_timing: id  0 | task 42 |       total time =    1555.80 ms /   238 tokens
3.02.519.263 I slot print_timing: id  0 | task 42 |    graphs reused =         58
3.02.519.266 I slot print_timing: id  0 | task 42 | draft acceptance = 0.68182 (   45 accepted /    66 generated), mean len =  3.05
3.02.519.521 I slot      release: id  0 | task 42 | stop processing: n_tokens = 238, truncated = 0
3.02.534.500 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1055376128009
3.02.648.294 I slot launch_slot_: id  0 | task 67 | processing task, is_child = 0
3.05.629.413 I slot print_timing: id  0 | task 67 | prompt eval time =    1179.48 ms /   565 tokens (    2.09 ms per token,   479.02 tokens per second)
3.05.629.419 I slot print_timing: id  0 | task 67 |        eval time =    1801.59 ms /   141 tokens (   12.78 ms per token,    78.26 tokens per second)
