0.06.762.037 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.06.844.520 I srv          init: The UI is disabled
0.06.844.523 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.06.844.680 W srv  llama_server: -----------------
0.06.844.682 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.06.844.682 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.06.844.682 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.06.844.682 W srv  llama_server: -----------------
7.22.719.139 I srv    load_model: loading model 'unsloth/gemma-4-E4B-it-GGUF:Q8_0'
7.24.626.671 W load: control-looking token:    212 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
7.24.627.527 W load: control-looking token:     50 '<|tool_response>' was not control-type; this is probably a bug in the model. its type will be overridden
7.24.638.247 W load: control-looking token:      1 '<eos>' was not control-type; this is probably a bug in the model. its type will be overridden
7.24.683.274 W load: special_eog_ids contains '<|tool_response>', removing '</s>' token from EOG list
7.34.947.871 W init_audio: audio input is in experimental stage and may have reduced quality:
    https://github.com/ggml-org/llama.cpp/discussions/13759
7.34.947.997 I srv    load_model: loaded multimodal model, '/opt/hf/hub/models--unsloth--gemma-4-E4B-it-GGUF/snapshots/bfc15c382204943c3a8fff0c750b94ae2364d7a3/mmproj-BF16.gguf'
7.34.978.824 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
7.34.987.477 I srv  llama_server: model loaded
7.34.987.493 I srv  llama_server: listening on http://127.0.0.1:8080
7.49.532.435 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
7.49.532.534 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
7.50.100.089 I slot print_timing: id  3 | task 0 | prompt eval time =     326.66 ms /   276 tokens (    1.18 ms per token,   844.92 tokens per second)
7.50.100.094 I slot print_timing: id  3 | task 0 |        eval time =     240.81 ms /    26 tokens (    9.26 ms per token,   107.97 tokens per second)
7.50.100.094 I slot print_timing: id  3 | task 0 |       total time =     567.48 ms /   302 tokens
7.50.100.098 I slot print_timing: id  3 | task 0 |    graphs reused =         25
7.50.100.232 I slot      release: id  3 | task 0 | stop processing: n_tokens = 301, truncated = 0
7.50.105.079 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.942 (> 0.100 thold), f_keep = 0.864
7.50.105.161 I slot launch_slot_: id  3 | task 29 | processing task, is_child = 0
7.50.359.872 I slot print_timing: id  3 | task 29 | prompt eval time =      40.39 ms /    25 tokens (    1.62 ms per token,   618.90 tokens per second)
7.50.359.881 I slot print_timing: id  3 | task 29 |        eval time =     214.27 ms /    25 tokens (    8.57 ms per token,   116.67 tokens per second)
7.50.359.882 I slot print_timing: id  3 | task 29 |       total time =     254.67 ms /    50 tokens
7.50.359.884 I slot print_timing: id  3 | task 29 |    graphs reused =         48
7.50.360.022 I slot      release: id  3 | task 29 | stop processing: n_tokens = 300, truncated = 0
7.50.365.089 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.942 (> 0.100 thold), f_keep = 0.867
7.50.365.145 I slot launch_slot_: id  3 | task 57 | processing task, is_child = 0
7.50.669.443 I slot print_timing: id  3 | task 57 | prompt eval time =      44.99 ms /    25 tokens (    1.80 ms per token,   555.72 tokens per second)
7.50.669.450 I slot print_timing: id  3 | task 57 |        eval time =     259.27 ms /    28 tokens (    9.26 ms per token,   107.99 tokens per second)
7.50.669.450 I slot print_timing: id  3 | task 57 |       total time =     304.26 ms /    53 tokens
7.50.669.453 I slot print_timing: id  3 | task 57 |    graphs reused =         74
7.50.669.552 I slot      release: id  3 | task 57 | stop processing: n_tokens = 303, truncated = 0
7.50.674.459 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.959 (> 0.100 thold), f_keep = 0.858
7.50.674.511 I slot launch_slot_: id  3 | task 88 | processing task, is_child = 0
7.50.945.273 I slot print_timing: id  3 | task 88 | prompt eval time =      46.74 ms /    20 tokens (    2.34 ms per token,   427.92 tokens per second)
7.50.945.284 I slot print_timing: id  3 | task 88 |        eval time =     223.96 ms /    25 tokens (    8.96 ms per token,   111.63 tokens per second)
7.50.945.284 I slot print_timing: id  3 | task 88 |       total time =     270.69 ms /    45 tokens
7.50.945.286 I slot print_timing: id  3 | task 88 |    graphs reused =         97
7.50.945.397 I slot      release: id  3 | task 88 | stop processing: n_tokens = 295, truncated = 0
7.50.949.449 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.956 (> 0.100 thold), f_keep = 0.881
7.50.949.554 I slot launch_slot_: id  3 | task 116 | processing task, is_child = 0
