0.06.676.342 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.06.766.186 I srv          init: The UI is disabled
0.06.766.192 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.06.766.376 W srv  llama_server: -----------------
0.06.766.377 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.06.766.378 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.06.766.378 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.06.766.378 W srv  llama_server: -----------------
7.20.741.683 I srv    load_model: loading model 'unsloth/Qwen3.6-35B-A3B-GGUF:Q8_0'
7.22.206.161 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
8.03.114.975 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
8.03.114.977 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
8.03.114.977 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

8.03.988.239 I srv    load_model: loaded multimodal model, '/opt/hf/hub/models--unsloth--Qwen3.6-35B-A3B-GGUF/snapshots/a483e9e6cbd595906af30beda3187c2663a1118c/mmproj-BF16.gguf'
8.04.155.609 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
8.04.176.379 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
8.04.176.471 I srv  llama_server: model loaded
8.04.176.481 I srv  llama_server: listening on http://127.0.0.1:8080
8.19.057.360 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
8.19.057.462 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
8.24.331.127 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    232, progress = 0.89, t =   5.27 s / 43.99 tokens per second
8.24.994.434 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    256, progress = 0.98, t =   5.94 s / 43.12 tokens per second
8.27.503.552 I slot print_timing: id  3 | task 0 | prompt eval time =    6164.24 ms /   260 tokens (   23.71 ms per token,    42.18 tokens per second)
8.27.503.555 I slot print_timing: id  3 | task 0 |        eval time =    2281.80 ms /    28 tokens (   81.49 ms per token,    12.27 tokens per second)
8.27.503.555 I slot print_timing: id  3 | task 0 |       total time =    8446.05 ms /   288 tokens
8.27.503.564 I slot print_timing: id  3 | task 0 |    graphs reused =         27
8.27.503.649 I slot      release: id  3 | task 0 | stop processing: n_tokens = 287, truncated = 0
8.27.520.659 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.923 (> 0.100 thold), f_keep = 0.836
8.27.520.713 I slot launch_slot_: id  3 | task 31 | processing task, is_child = 0
8.30.738.437 I slot print_timing: id  3 | task 31 | prompt eval time =     806.57 ms /    28 tokens (   28.81 ms per token,    34.72 tokens per second)
8.30.738.441 I slot print_timing: id  3 | task 31 |        eval time =    2411.12 ms /    27 tokens (   89.30 ms per token,    11.20 tokens per second)
8.30.738.441 I slot print_timing: id  3 | task 31 |       total time =    3217.68 ms /    55 tokens
8.30.738.442 I slot print_timing: id  3 | task 31 |    graphs reused =         52
8.30.738.487 I slot      release: id  3 | task 31 | stop processing: n_tokens = 286, truncated = 0
8.30.755.942 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.927 (> 0.100 thold), f_keep = 0.839
8.30.756.013 I slot launch_slot_: id  3 | task 60 | processing task, is_child = 0
8.33.877.880 I slot print_timing: id  3 | task 60 | prompt eval time =     916.89 ms /    27 tokens (   33.96 ms per token,    29.45 tokens per second)
8.33.877.884 I slot print_timing: id  3 | task 60 |        eval time =    2204.94 ms /    26 tokens (   84.81 ms per token,    11.79 tokens per second)
8.33.877.884 I slot print_timing: id  3 | task 60 |       total time =    3121.83 ms /    53 tokens
8.33.877.885 I slot print_timing: id  3 | task 60 |    graphs reused =         76
8.33.877.912 I slot      release: id  3 | task 60 | stop processing: n_tokens = 284, truncated = 0
8.33.890.875 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.938 (> 0.100 thold), f_keep = 0.845
